Census Tract,2028 Total Population
010939646.00,"2,947"
010939647.01,"2,446"
010939647.02,"3,026"
010950301.01,"1,680"
010950301.02,"1,540"
010950302.03,"4,281"
010950302.04,"1,858"
010950302.05,"1,228"
010950302.06,"3,833"
010950303.01,"2,372"
010950303.02,"4,611"
010950304.01,"4,877"
010950304.02,"3,473"
010950305.01,"2,747"
010950305.02,"4,871"
010950306.01,"2,883"
010950306.02,"4,180"
010950307.01,"3,815"
010950307.02,"4,065"
010950308.01,"5,011"
010950308.03,"2,352"
010950308.04,"5,791"
010950309.02,"5,052"
010950309.03,"6,342"
010950309.04,"5,865"
010950310.01,"3,513"
010950310.02,"2,551"
010950311.00,"5,341"
010950312.00,"5,907"
011030001.00,"4,506"
011030002.00,"3,857"
011030003.00,"2,974"
011030004.00,"3,966"
011030006.00,"3,275"
011030007.00,"4,114"
011030008.00,"3,268"
011030009.00,"5,946"
011030010.00,"3,401"
011030051.01,"5,312"
011030051.03,852
011030051.05,"2,195"
011030051.06,"6,830"
011030051.07,"4,463"
011030051.08,"3,957"
011030051.09,"5,008"
011030052.01,"2,123"
011030052.02,"4,732"
011030053.02,"4,355"
011030053.03,"3,981"
011030053.04,"6,301"
011030053.05,"4,756"
011030053.06,"3,910"
011030054.04,"6,439"
011030054.05,"5,138"
011030055.00,"5,885"
011030056.01,"3,255"
011030056.02,"2,400"
011030057.01,"2,795"
011030057.03,"2,805"
011030057.04,"3,089"
011070500.00,"4,226"
011070501.00,"3,005"
011070502.00,"1,747"
011070503.00,"4,696"
011070504.01,"1,823"
011070504.02,"2,562"
011110001.00,"3,839"
011110002.00,"3,505"
011110003.00,"3,943"
011110004.00,"4,344"
011110005.00,"4,338"
011110006.00,"1,949"
011150401.04,"5,644"
011150401.05,"4,403"
011150401.07,"6,838"
011150401.08,"5,651"
011150401.09,"2,661"
011150401.10,"5,171"
011150402.06,"2,623"
011150402.07,"3,203"
011150402.08,"3,012"
011150402.09,"3,591"
011150402.10,"3,924"
011150402.11,"3,241"
011150402.12,"3,131"
011150402.13,"3,376"
011150403.01,"2,751"
011150403.02,"2,750"
011150404.01,"5,137"
011150404.02,"4,136"
011150405.03,"4,844"
011150405.04,"5,553"
