Census Tract,2023 Median Household Income
010939644.02,"$63,306"
010939645.00,"$44,638"
010939646.00,"$46,093"
010939647.01,"$47,533"
010939647.02,"$56,896"
010950301.01,"$37,916"
010950301.02,"$45,326"
010950302.03,"$56,610"
010950302.04,"$51,708"
010950302.05,"$52,535"
010950302.06,"$80,186"
010950303.01,"$73,432"
010950303.02,"$65,280"
010950304.01,"$48,696"
010950304.02,"$66,102"
010950305.01,"$66,233"
010950305.02,"$53,010"
010950306.01,"$76,842"
010950306.02,"$48,438"
010950307.01,"$51,883"
010950307.02,"$50,838"
010950308.01,"$55,407"
010950308.03,"$41,134"
010950308.04,"$50,431"
010950309.02,"$64,652"
010950309.03,"$37,325"
010950309.04,"$51,155"
010950310.01,"$50,921"
010950310.02,"$45,046"
010950311.00,"$41,217"
010950312.00,"$42,187"
011030001.00,"$37,154"
011030002.00,"$90,925"
011030003.00,"$55,351"
011030004.00,"$52,476"
011030006.00,"$20,677"
011030007.00,"$31,815"
011030008.00,"$43,020"
011030009.00,"$44,705"
011030010.00,"$54,224"
011030051.01,"$71,880"
011030051.03,"$80,781"
011030051.05,"$88,026"
011030051.06,"$55,722"
011030051.07,"$96,091"
011030051.08,"$55,585"
011030051.09,"$29,194"
011030052.01,"$75,287"
011030052.02,"$50,758"
011030053.02,"$80,231"
011030053.03,"$54,053"
011030053.04,"$76,237"
011030053.05,"$75,553"
011030053.06,"$84,478"
011030054.04,"$88,330"
011030054.05,"$55,786"
011030055.00,"$57,111"
011030056.01,"$68,330"
011030056.02,"$56,669"
011030057.01,"$59,543"
011030057.03,"$57,811"
011030057.04,"$64,915"
011070500.00,"$53,493"
011070501.00,"$41,937"
011070502.00,"$51,145"
011070503.00,"$38,258"
011070504.01,"$40,428"
011070504.02,"$55,037"
011110001.00,"$38,306"
011110002.00,"$58,921"
011110003.00,"$54,378"
011110004.00,"$43,398"
011110005.00,"$41,873"
011110006.00,"$42,139"
011150401.04,"$62,905"
011150401.05,"$63,970"
011150401.07,"$74,324"
011150401.08,"$92,699"
011150401.09,"$45,362"
011150401.10,"$66,986"
011150402.06,"$64,678"
011150402.07,"$41,474"
011150402.08,"$50,966"
011150402.09,"$58,800"
011150402.10,"$81,910"
011150402.11,"$36,696"
011150402.12,"$78,650"
011150402.13,"$55,223"
011150403.01,"$59,633"
011150403.02,"$33,356"
011150404.01,"$54,719"
011150404.02,"$59,943"
011150405.03,"$85,610"
011150405.04,"$63,612"
011150405.05,"$87,111"
011150405.06,"$71,263"
011150405.07,"$50,783"
011150405.08,"$30,121"
011170301.02,"$55,348"
011170301.03,"$67,543"
011170302.11,"$127,495"
011170302.12,"$52,380"
011170302.15,"$80,434"
011170302.16,"$133,384"
011170302.18,"$107,783"
011170302.19,"$107,614"
011170302.20,"$145,846"
011170302.21,"$93,677"
011170303.04,"$147,597"
011170303.05,"$117,905"
011170303.06,"$67,076"
011170303.14,"$58,385"
011170303.15,"$66,258"
011170303.16,"$60,680"
011170303.17,"$79,626"
011170303.19,"$63,032"
011170303.20,"$79,176"
011170303.30,"$124,461"
011170303.31,"$132,049"
011170303.36,"$107,351"
011170303.37,"$67,642"
011170303.40,"$89,133"
011170303.41,"$70,418"
011170303.45,"$100,532"
011170303.46,"$105,532"
011170303.47,"$80,114"
011170303.48,"$121,295"
011170303.49,"$80,625"
011170303.50,"$114,508"
011170303.51,"$154,010"
011170303.52,"$106,434"
011170304.08,"$39,608"
011170306.07,"$92,412"
011170306.10,"$84,333"
011170306.12,"$101,578"
011170306.14,"$75,085"
011170306.15,"$137,838"
011170306.16,"$93,735"
011170307.01,"$80,823"
011170307.03,"$54,318"
011170308.00,"$75,790"
011170309.00,"$42,276"
011179800.00,$0
011179801.00,$0
011210101.01,"$86,882"
011210101.02,"$48,002"
011210102.01,"$61,012"
011210102.02,"$58,394"
011210103.01,"$37,489"
011210103.02,"$59,600"
011210104.00,"$46,443"
011210105.00,"$26,075"
011210106.00,"$18,702"
011210107.00,"$33,146"
011210109.00,"$50,113"
011210110.00,"$46,910"
011210111.00,"$43,528"
011210112.00,"$51,280"
011210113.01,"$39,038"
011210113.02,"$37,953"
011210114.00,"$41,345"
011210115.01,"$63,495"
011210115.02,"$61,796"
011210116.00,"$41,785"
011210117.00,"$37,378"
011250101.01,"$150,742"
011250101.02,"$94,425"
011250101.04,"$79,851"
011250101.05,"$68,435"
011250102.01,"$96,559"
011250102.03,"$105,632"
011250102.04,"$67,213"
011250102.05,"$98,845"
011250102.06,"$85,048"
011250103.02,"$48,273"
011250103.04,"$61,587"
011250103.05,"$64,126"
011250104.03,"$56,390"
011250104.04,"$42,354"
011250104.05,"$127,519"
011250104.06,"$140,898"
011250104.07,"$77,157"
011250105.00,"$33,604"
011250106.01,"$59,275"
011250106.03,"$78,960"
011250106.04,"$66,861"
011250107.03,"$74,377"
